"","lon","lat","Dataset","Loc_ID","Area_km","S","N","min_DBH_cm","GPP","ET","ANN_T","WARM_T","ISO_T","MIN_P","P_SEAS","ALT_DIF","ELONG","ISL_LS","ISL_ST","ISL_DIS","HABITAT","REALM","REALM_PK","DAT_TYPE","Source"
"1",108.835,18.665,"Fang_Hainan","FH1",0.01,171,1024,5,30180,13086.25,22.8,26.3,44,54,80,134,1,"island","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot","Fang et al. (2004) Community structures and species richness in the montane rain forest of Jianfengling, Hainan Island, China. Biodiversity Science 12: 29-43."
"2",101.195,21.945,"Lu_SW_China","Lu_Menglun",0.01,106,393,10,26729,11555.5,22.2,25.4,54,68,73,206,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot","Lu et al. (2010) Structure, tree species diversity and composition of tropical seasonal rainforests in Xishuangbanna, south-west China. Journal of Tropical Forest Science 22: 260-270."
"3",101.545,21.535,"Lu_SW_China","Lu_Mengla",0.01,94,423,10,26812,11430.75,21.9,25,55,78,75,202,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot","Lu et al. (2010) Structure, tree species diversity and composition of tropical seasonal rainforests in Xishuangbanna, south-west China. Journal of Tropical Forest Science 22: 260-270."
"4",101.595,21.445,"Lu_SW_China","Lu_Manyang",0.01,84,467,10,26195,11063.25,22.1,25.3,55,76,78,189,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot","Lu et al. (2010) Structure, tree species diversity and composition of tropical seasonal rainforests in Xishuangbanna, south-west China. Journal of Tropical Forest Science 22: 260-270."
"5",108.055,25.165,"Xiang_SW_China","Xiang_Mulun",0.01,68,535,10,17390,13253.6669921875,19.1,26.5,31,111,66,356,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot","Xiang et al. (2015) A comparison of tree species diversity in two subtropical forests, Guangxi, Southwest China. Journal of Resources Ecology, 6: 208-2016."
"6",110.375,25.865,"Xiang_SW_China","Xiang_Maoershan",0.01,72,764,10,12447,6039.5,15.3,24,27,178,54,131,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot","Xiang et al. (2015) A comparison of tree species diversity in two subtropical forests, Guangxi, Southwest China. Journal of Resources Ecology, 6: 208-2016."
"7",128.085,42.405,"Wu_NE_China","Wu_P1",0.001,12,43,10,10121,5613.16650390625,2.5,17.9,26,26,92,46,2.5,"mainland","mainland","mainland","Temperate Broadleaf and Mixed Forests","Palearctic","Eastern Palearctic","Plot","Wu et al. (2004) Comparison of community structure and species diversity of mixed forests of deciduous broad-leaved tree and Korean pine in Northeast China. Biodiversity Science 12: 174-181."
"8",128.125,42.325,"Wu_NE_China","Wu_P3",6e-04,10,64,10,10427,5779.33349609375,2,17.4,26,27,92,20,1.5,"mainland","mainland","mainland","Temperate Broadleaf and Mixed Forests","Palearctic","Eastern Palearctic","Plot","Wu et al. (2004) Comparison of community structure and species diversity of mixed forests of deciduous broad-leaved tree and Korean pine in Northeast China. Biodiversity Science 12: 174-181."
"9",128.905,47.185,"Wu_NE_China","Wu_P4",0.001,10,47,10,8110,3732.58325195312,0.3,18.3,23,19,100,169,2.5,"mainland","mainland","mainland","Temperate Broadleaf and Mixed Forests","Palearctic","Eastern Palearctic","Plot","Wu et al. (2004) Comparison of community structure and species diversity of mixed forests of deciduous broad-leaved tree and Korean pine in Northeast China. Biodiversity Science 12: 174-181."
"10",128.215,44.365,"Wu_NE_China","Wu_P9",6e-04,10,123,10,8370,5105.91650390625,-1.2,15.5,24,23,97,172,1.5,"mainland","mainland","mainland","Temperate Broadleaf and Mixed Forests","Palearctic","Eastern Palearctic","Plot","Wu et al. (2004) Comparison of community structure and species diversity of mixed forests of deciduous broad-leaved tree and Korean pine in Northeast China. Biodiversity Science 12: 174-181."
"11",123.065,51.605,"Zhao_Baikalu","Baik_7",8e-04,2,75,4,7736,4024.16674804688,-6,13.4,26,16,102,107,2,"mainland","mainland","mainland","Temperate Conifer Forests","Palearctic","Eastern Palearctic","Plot","Zhao et al. (2004) Structure and species diversity of boreal forests in Mt. Baikalu, Huzhong area, Daxingan Mountains, Northeast China. Biodiversity Science 12: 182-189."
"12",101.565,21.485,"Cao_Zhang_SW_China","Cao_1",0.0025,68,308,5,25392,9794,22.7,25.8,55,75,77,18,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot","Cao & Zhang (1997) Tree species diversity of tropical forest vegetation in Xishuangbanna, SW China. Biodiversity and Conservation 6: 995-1006."
"13",117.855,27.845,"Zheng_Fujian","E1",4e-04,11,91,5,14109,6486.41650390625,14.2,22.7,26,195,54,536,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot","Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74."
"14",117.845,27.875,"Zheng_Fujian","E2",4e-04,15,17,5,17410,11395.8330078125,16.7,25.4,27,193,59,348,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot","Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74."
